"Año-Puerto","Canarias-Cargadas","Canarias-Descargadas","Canarias-Tránsito","Nacional-Cargadas","Nacional-Descargadas","Nacional-Tránsito","UE-Cargadas","UE-Descargadas","UE-Tránsito","UE-Transbordos","Resto-Cargadas","Resto-Descargadas","Resto-Tránsito","Resto-Transbordos"
"2017-HIE",20086.32,43520.93,0,0,48.53,0,0,0,0,0,0,0,0,0
"2017-CRI",345115.01,163793.83,0,0,0,0,0,0,0,0,0,0,0,0
"2017-SPC",104462.81,427764.67,0,223912.63,60514.97,24.73,151.48,2912.88,0,0,1,1233.64,0,0
"2017-SCT",2435602.13,951362.62,127.61,852788.28,4544024.07,171215.75,35041.25,1345363.1,9524.5,0,84395.53,456472.51,467653.89,0
"2017-GOM",69060.45,122376.74,3798.07,0,0,0,0,0,0,0,0,0,0,0
"2018-HIE",20245.21,43959.28,0,0,0,0,0,0,0,0,0,0,0,0
"2018-CRI",362389.74,164925.49,136,0,0,0,0,0,0,0,0,0,0,0
"2018-SPC",107840.38,430244.37,1529,219254.07,61010.29,27505.87,163.5,4865.99,78.36,0,13.02,899.39,0,0
"2018-SCT",2062697.06,967684.12,1336.96,870263.8,4378763.81,110480.73,38090.01,1499238.29,3360.14,0,50645.32,335881.35,382721.93,12595.32
"2018-GOM",69075.87,130352.73,1945.79,0,0,0,0,0,0,0,0,0,0,0
"2019-HIE",25107.03,50438.3,0,0,0,0,0,0,0,0,0,0,0,0
"2019-CRI",391422.02,177229.06,4043.81,0,0,0,0,0,0,0,0,0,0,0
"2019-SPC",116333.75,453882.75,597.67,213040.1,61329.32,32095.05,445.83,2824.46,34.97,0,0.6,2428.78,0,0
"2019-SCT",2052240.74,974762.36,4888.27,909354.77,4466979.99,26958.74,54132.05,1333855.5,1088.86,357.45,357245.61,288728.73,162419.16,41656.2
"2019-GOM",79087.41,152229.01,3962.22,0,0,0,0,0,0,0,0,0,0,0
"2020-HIE",28439.26,54341.85,399.58,0,0,0,0,0,0,0,0,0,0,0
"2020-CRI",380787.75,175572.53,3887.89,0,0,0,0,0,0,0,0,0,0,0
"2020-SPC",123144.02,439043.51,1541.5,218925.36,59654.04,12940.3,508.29,1740.62,0,0,0.41,1317.98,0,0
"2020-SCT",1468627.97,817881.97,7732,821268.04,3980134.77,56144.83,28967.44,623212.09,4586.06,0,359964.4,318427.38,445782.51,2622.27
"2020-GOM",61933.92,131132.22,2417.64,0,0,0,0,0,0,0,0,0,0,0
